S/N,CIRCLE,DISTRICT,Injection S/S,33KV FEEDER,Colour Code,DAY 1,DAY 2,DAY 3,DAY 4,DAY 5,DAY 6,DAY 7,DAY 8,DAY 9,DAY 10,DAY 11,DAY 12,DAY 13,DAY 14,DAY 15,DAY 16,DAY 17,DAY 18,DAY 19,DAY 20,DAY 21,DAY 22,DAY 23,DAY 24,DAY 25,DAY 26,DAY 27,DAY 28,DAY 29,DAY 30,DAY 31,DAILY AVG.
1,CENTRAL,APAPA,,AMUWO LOCAL T3,,24,24,24,24,24,24,24,24,24,24,23,24,24,24,22,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.87096774
2,CENTRAL,APAPA,,APAPA MAINS 1,,24,24,24,24,24,24,24,24,24,24,23,24,21,24,17,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,23.61290323
3,CENTRAL,APAPA,,APAPA MAINS 2,,24,24,24,24,24,24,24,24,24,24,24,24,21,24,17,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,23.64516129
4,CENTRAL,APAPA,,APAPA ROAD LOCAL T1,,24,24,24,24,23,24,24,24,24,24,24,24,20,24,17,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,23.58064516
5,CENTRAL,APAPA,,APAPA ROAD LOCAL T2,,24,24,24,24,23,24,17,24,24,24,24,24,20,24,17,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,23.35483871
6,CENTRAL,APAPA,,BADIA 33,,14,21,24,24,24,24,21,8,24,24,24,24,21,9,23,24,24,24,24,24,22,22,23,24,24,24,24,24,24,24,24,22.19354839
7,CENTRAL,APAPA,,FLOUR MILLS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CENTRAL,APAPA,,NAVAL BASE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CENTRAL,IJORA,,NRC (AKOKA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CENTRAL,IJORA,,AKOKA LOCAL T3A,,24,24,24,24,24,23,24,24,24,24,24,24,24,20,24,24,24,24,24,24,22,24,22,22,24,24,24,24,21,24,24,23.5483871
11,CENTRAL,IJORA,,CAUSEWAY 1 33,,24,23,0,10,24,24,21,7,24,24,24,24,24,21,22,24,24,24,24,12,14,13,24,24,24,24,24,24,24,24,24,21.56666667
12,CENTRAL,IJORA,,CAUSEWAY 2 33,,23,24,24,24,23,24,21,10,24,24,24,24,24,24,22,24,24,23,24,24,12,12,23,23,24,23,24,24,24,24,24,22.41935484
13,CENTRAL,IJORA,,NRC (AKANGBA),,24,24,24,24,24,20,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,15,0,11,24,24,23.1
14,CENTRAL,IJORA,,SABO 33,,24,24,24,24,24,23,24,23,24,24,24,24,24,20,24,24,24,24,24,23,15,22,24,24,24,24,24,11,10,24,24,22.5483871
15,CENTRAL,IJORA,,UNILAG,,24,24,24,24,24,24,24,24,24,24,24,24,24,20,24,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,23.80645161
16,CENTRAL,MUSHIN,,IDI ARABA 33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,CENTRAL,MUSHIN,,IJESHA,,24,24,24,22,24,23,20,13,24,24,24,24,24,24,24,24,24,24,22,23,24,24,24,24,24,24,24,24,24,24,24,23.32258065
18,CENTRAL,MUSHIN,,ISOLO LOCAL,,24,24,24,24,24,24,24,24,24,24,24,24,24,24,17,24,24,24,24,23,24,24,24,24,8,6,24,24,24,24,24,22.64516129
19,CENTRAL,MUSHIN,,LUTH,,24,24,24,24,24,15,5,24,24,24,24,24,24,24,24,24,19,22,24,24,24,24,24,24,24,24,24,24,24,24,24,22.87096774
20,CENTRAL,MUSHIN,,NEW YABA (AKANGBA),,24,23,24,24,24,24,21,9,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,23.35483871
21,CENTRAL,MUSHIN,,NEW YABA (AKOKA),,24,24,22,24,24,23,24,22,24,24,24,24,24,20,24,24,24,13,0,0,0,0,0,0,0,7,24,24,24,24,24,22.45833333
22,CENTRAL,MUSHIN,,NITEL 33,,24,23,24,24,24,24,24,24,24,24,24,24,24,24,17,24,24,24,24,20,24,24,24,23,8,6,24,24,23,24,24,22.4516129
23,CENTRAL,MUSHIN,,PTC,,24,22,24,24,24,24,24,24,24,24,24,20,13,21,17,24,24,23,24,17,24,24,24,24,9,6,24,24,24,24,24,21.80645161
24,CENTRAL,ORILE,,ADELABU 1,,24,22,21,24,24,24,22,24,24,24,24,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.70967742
25,CENTRAL,ORILE,,ADELABU 2,,24,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.93548387
26,CENTRAL,ORILE,,AMUWO,,24,24,24,24,24,24,23,24,24,24,24,24,18,22,0,7,13,24,24,24,19,7,22,10,24,24,24,24,24,24,24,21.5
27,CENTRAL,ORILE,,IGANMU 1,,24,24,24,19,9,24,21,11,24,24,24,24,24,24,24,24,22,23,24,24,24,24,24,24,24,24,24,24,24,24,24,22.74193548
28,CENTRAL,ORILE,,IGANMU 2,,24,19,24,24,24,24,23,22,24,24,24,24,24,24,24,24,22,23,24,24,24,24,24,24,24,24,24,24,24,24,24,23.64516129
29,CENTRAL,ORILE,,SANYA 33,,24,24,24,24,19,0,8,24,23,24,16,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,17,24,24,22.76666667
30,EAST,IBEJU,,AJAH LOCAL T1,,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,24,24,24,24,24,24,24,24,23.90322581
31,EAST,IBEJU,,ELEKO,,10,15,13,12,8,0,5,3,11,6,17,22,8,3,9,8,13,6,0,3,15,3,4,0,3,9,1,5,15,17,12,9.142857143
32,EAST,IBEJU,,ELEMORO,,24,16,12,24,16,6,16,4,19,10,10,20,4,7,24,9,12,13,1,6,7,19,24,16,22,9,19,18,23,16,19,14.35483871
33,EAST,IBEJU,,IBEJU,,15,19,15,22,17,0,17,17,12,19,13,14,9,5,6,12,21,10,10,19,5,7,8,16,9,7,8,20,11,21,21,13.5
34,EAST,IBEJU,,MAIN ONE,,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,9,8,17,24,24,24,24,24,22.74193548
35,EAST,IBEJU,,OKE-IRA,,24,24,24,24,24,23,24,24,23,24,24,24,24,23,24,24,24,23,24,9,23,21,24,24,24,24,24,24,24,23,24,23.22580645
36,EAST,IBEJU,,ROYAL GARDEN CITY,,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,21,24,24,24,22,24,24,24,24,24,24,24,24,23.80645161
37,EAST,ISLAND,,BERKLEY EXPRESS,,24,24,23,24,24,22,22,24,16,0,0,9,24,23,24,24,24,24,24,24,23,21,24,24,24,24,24,22,24,24,24,22.79310345
38,EAST,ISLAND,,ADEMOLA 2,,24,22,24,24,24,23,24,24,24,24,24,2,0,7,24,24,24,24,23,24,16,6,24,24,24,23,24,24,23,24,24,21.63333333
39,EAST,ISLAND,,ADEMOLA 1,,24,24,24,24,24,23,24,24,24,24,24,24,7,0,0,0,0,6,23,2,0,0,7,24,23,24,24,24,24,24,24,20.92
40,EAST,ISLAND,,ADEMOLA 3,,24,24,24,24,24,23,24,24,24,24,23,24,24,22,20,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,23.70967742
41,EAST,ISLAND,,AJELE 1,,24,23,24,24,24,24,21,0,7,24,24,24,24,24,21,23,24,24,24,24,22,18,24,24,24,24,24,24,24,24,24,22.9
42,EAST,ISLAND,,AJELE 2,,19,0,8,24,24,24,21,0,0,7,24,24,24,24,22,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,22.39285714
43,EAST,ISLAND,,ALAGBON LOCAL T1,,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,23,23,24,24,24,24,24,24,23,24,24,24,24,24,24,23.87096774
44,EAST,ISLAND,,ALAGBON LOCAL T2,,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.96774194
45,EAST,ISLAND,,ANIFOWOSHE 1,,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,18,4,24,21,0,0,0,0,0,0,0,0,5,24,24,24,21.86956522
46,EAST,ISLAND,,ANIFOWOSHE 2,,24,24,24,24,24,23,22,17,14,6,24,24,24,24,24,2,0,6,20,24,24,24,24,15,19,23,24,24,24,24,24,20.76666667
47,EAST,ISLAND,,BANANA ISLAND 1,,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.96774194
48,EAST,ISLAND,,BANANA ISLAND 2,,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,23.90322581
49,EAST,ISLAND,,CUSTOM 1,,24,22,24,24,24,24,23,0,10,24,24,24,24,24,22,24,24,24,24,19,12,24,24,24,24,24,24,24,23,24,24,22.76666667
50,EAST,ISLAND,,CUSTOM 2,,23,11,24,24,24,24,23,24,24,24,24,21,14,24,22,24,24,24,13,24,22,24,24,24,24,24,24,24,24,24,23,22.58064516
51,EAST,ISLAND,,FEDERAL SECRETARIAT 33,,24,24,24,24,24,22,24,24,24,24,13,0,0,0,0,11,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.03703704
52,EAST,ISLAND,,FOWLER 1,,24,24,24,24,24,17,17,24,24,24,24,24,24,23,23,24,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,23.41935484
53,EAST,ISLAND,,FOWLER 2,,24,24,24,24,24,23,24,24,15,6,24,24,24,24,24,24,24,24,24,24,24,18,24,24,24,24,24,24,24,24,20,22.77419355
54,EAST,ISLAND,,FOWLER 3,,24,24,19,23,24,23,24,24,24,20,24,24,24,18,12,0,0,17,24,24,21,22,24,24,24,24,24,24,24,24,24,22.5862069
55,EAST,ISLAND,,MAROKO,,24,24,24,24,24,23,24,0,0,8,24,24,24,12,6,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22.34482759
56,EAST,ISLAND,,NEW IDUMAGBO,,24,24,24,24,24,23,24,24,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.90322581
57,EAST,ISLAND,,UBA/UBN,,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,23.87096774
58,EAST,LEKKI,,21ST CENTURY,,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.93548387
59,EAST,LEKKI,,AGUNGI,,24,24,20,20,10,6,21,15,21,24,20,24,20,24,20,15,19,12,24,24,22,18,16,24,22,24,21,17,24,24,24,20.09677419
60,EAST,LEKKI,,CHEVRON 33,,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,23.93548387
61,EAST,LEKKI,,ELEGUSHI,,23,18,24,16,5,22,21,8,24,24,21,24,24,21,24,20,16,10,21,13,8,12,12,14,9,14,24,20,20,20,18,17.74193548
62,EAST,LEKKI,,IGBO EFON,,15,22,21,24,13,18,16,14,24,23,22,21,20,18,18,19,22,17,17,24,23,15,21,24,22,24,24,24,24,22,24,20.48387097
63,EAST,LEKKI,,IKATE EXPRESS,,24,23,20,24,24,23,23,24,24,19,22,24,24,24,24,23,24,24,24,24,24,24,22,20,24,24,24,21,24,24,12,22.83870968
64,EAST,LEKKI,,ILASAN,,19,24,24,21,20,23,21,8,10,16,14,19,10,15,21,16,23,14,24,24,16,20,19,14,16,19,21,24,24,16,24,18.67741935
65,EAST,LEKKI,,LEKKI,,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,22,24,24,23,23,24,24,24,24,23.77419355
66,EAST,LEKKI,,ONIRU 33,,24,24,24,24,23,22,24,24,24,22,24,24,24,24,23,19,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.61290323
67,EAST,LEKKI,,TWINLAKE,,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,24,24,24,24,24,19,24,24,23.74193548
68,EAST,LEKKI,,WATER FRONT,,21,20,24,20,10,18,21,16,23,22,24,23,9,20,24,21,20,18,20,16,6,11,20,15,14,13,22,18,20,18,24,18.41935484
69,WEST,AGBARA,,AGBARA 33,,20,17,24,20,21,24,16,1,24,13,4,14,8,5,14,9,1,24,17,17,13,12,20,20,8,14,12,20,13,20,24,15.12903226
70,WEST,AGBARA,,AGBARA LOCAL T4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,15.5
71,WEST,AGBARA,,AGBARA LOCAL T5,,24,24,24,24,24,24,24,24,24,24,24,24,22,23,24,24,24,24,24,24,23,19,24,24,24,24,24,24,24,24,24,23.70967742
72,WEST,AGBARA,,AGBARA LOCAL T6,,24,24,24,24,24,24,24,24,24,24,24,24,22,23,24,24,24,24,24,24,23,19,24,24,24,24,24,24,24,24,24,23.70967742
73,WEST,AGBARA,,BADAGRY 33,,13,21,24,15,7,24,6,2,7,18,17,17,13,0,9,2,0,0,4,18,0,1,14,4,8,18,16,24,22,13,9,12.81481481
74,WEST,AGBARA,,BADAGRY EXPRESS,,22,24,24,19,11,24,22,1,13,24,24,24,13,0,0,0,10,13,12,24,14,5,24,15,8,24,16,18,24,12,9,16.89285714
75,WEST,AGBARA,,GUINEA (BETA) GLASS,,24,24,24,24,24,24,24,24,24,21,24,24,22,23,24,24,24,24,24,24,23,20,24,24,24,24,24,24,24,24,18,23.4516129
76,WEST,AGBARA,,OKO AFO,,16,12,12,19,10,0,0,1,6,13,15,18,2,6,3,0,7,11,2,19,11,12,14,18,8,9,14,18,14,9,1,10.71428571
77,WEST,AGBARA,,RYDER GLASS,,24,24,24,24,21,24,24,24,24,24,24,24,22,16,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5483871
78,WEST,FESTAC,,FESTAC 1 (AMUWO),,24,24,22,23,24,24,23,21,24,24,18,21,24,23,21,19,21,24,17,24,14,12,24,19,23,24,22,24,24,24,23,21.87096774
79,WEST,FESTAC,,FESTAC 2,,23,24,21,22,10,24,22,24,24,24,22,24,22,23,21,19,24,24,21,21,24,23,24,24,24,24,21,23,24,24,24,22.51612903
80,WEST,FESTAC,,KIRIKIRI EXPRESS,,24,24,21,0,10,23,0,9,24,24,24,24,24,13,16,22,23,14,5,23,22,24,24,24,24,24,24,24,24,24,24,21
81,WEST,FESTAC,,SATELLITE 1 33,,24,24,21,23,24,24,21,22,24,24,24,24,24,21,13,23,21,24,23,23,22,24,24,24,24,24,24,24,24,24,24,23
82,WEST,FESTAC,,SATELLITE 2 33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,WEST,FESTAC,,SNAKE ISLAND,,14,9,24,24,24,18,22,0,10,24,23,19,24,18,9,23,24,22,24,24,24,24,24,24,24,24,24,24,24,24,12,21.03333333
84,WEST,FESTAC,,TINCAN,,24,24,24,24,24,24,24,24,24,24,24,24,21,24,17,24,24,24,24,23,20,0,0,0,0,0,0,0,11,24,24,22.83333333
85,WEST,OJO,,FESTAC 1 (OJO),,23,24,24,15,22,24,22,12,9,0,0,8,21,15,18,9,24,24,24,21,24,24,23,16,24,24,24,24,24,24,24,20.48275862
86,WEST,OJO,,OJO LOCAL T1,,24,24,24,24,24,24,24,24,15,24,24,24,22,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.61290323
87,WEST,OJO,,OJO LOCAL T2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,WEST,OJO,,OJO LOCAL T3,,24,24,24,24,24,16,24,24,24,20,24,24,22,24,23,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,23.48387097
89,WEST,OJO,,VOLKSWAGEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
